Vectors,p1,p2,p3,p4,p5,true_value_next_day
1,1.0360286624035764,0.2812552294075843,-0.34672341943631224,0.8774520488929127,0.2712959760355682,0.24499343325119494
2,0.2812552294075843,-0.34672341943631224,0.8774520488929127,0.2712959760355682,0.24499343325119494,-0.48153946267619485
3,-0.34672341943631224,0.8774520488929127,0.2712959760355682,0.24499343325119494,-0.48153946267619485,0.27137291500392013
4,0.8774520488929127,0.2712959760355682,0.24499343325119494,-0.48153946267619485,0.27137291500392013,0.44940302917710895
5,0.2712959760355682,0.24499343325119494,-0.48153946267619485,0.27137291500392013,0.44940302917710895,0.33388176113964274
6,0.24499343325119494,-0.48153946267619485,0.27137291500392013,0.44940302917710895,0.33388176113964274,0.016013942870762854
7,-0.48153946267619485,0.27137291500392013,0.44940302917710895,0.33388176113964274,0.016013942870762854,0.6498684890163364
8,0.27137291500392013,0.44940302917710895,0.33388176113964274,0.016013942870762854,0.6498684890163364,0.16895158701262236
9,0.44940302917710895,0.33388176113964274,0.016013942870762854,0.6498684890163364,0.16895158701262236,-0.30591636296535274
10,0.33388176113964274,0.016013942870762854,0.6498684890163364,0.16895158701262236,-0.30591636296535274,0.11283758270193012
11,0.016013942870762854,0.6498684890163364,0.16895158701262236,-0.30591636296535274,0.11283758270193012,0.008681864191406596
12,0.6498684890163364,0.16895158701262236,-0.30591636296535274,0.11283758270193012,0.008681864191406596,0.4271337097711658
13,0.16895158701262236,-0.30591636296535274,0.11283758270193012,0.008681864191406596,0.4271337097711658,-0.039832189789246186
14,-0.30591636296535274,0.11283758270193012,0.008681864191406596,0.4271337097711658,-0.039832189789246186,-0.12929312353261446
15,0.11283758270193012,0.008681864191406596,0.4271337097711658,-0.039832189789246186,-0.12929312353261446,0.4182127661043422
16,0.008681864191406596,0.4271337097711658,-0.039832189789246186,-0.12929312353261446,0.4182127661043422,0.5207749947790719
17,0.4271337097711658,-0.039832189789246186,-0.12929312353261446,0.4182127661043422,0.5207749947790719,0.32734500676081524
18,-0.039832189789246186,-0.12929312353261446,0.4182127661043422,0.5207749947790719,0.32734500676081524,-0.06416840091150178
19,-0.12929312353261446,0.4182127661043422,0.5207749947790719,0.32734500676081524,-0.06416840091150178,0.0
20,0.4182127661043422,0.5207749947790719,0.32734500676081524,-0.06416840091150178,0.0,0.8348101131498753
21,0.5207749947790719,0.32734500676081524,-0.06416840091150178,0.0,0.8348101131498753,0.26841170292315475
22,0.32734500676081524,-0.06416840091150178,0.0,0.8348101131498753,0.26841170292315475,-0.6295184821311306
23,-0.06416840091150178,0.0,0.8348101131498753,0.26841170292315475,-0.6295184821311306,1.0603173615227224
24,0.0,0.8348101131498753,0.26841170292315475,-0.6295184821311306,1.0603173615227224,0.6570937656389386
25,0.8348101131498753,0.26841170292315475,-0.6295184821311306,1.0603173615227224,0.6570937656389386,-0.9173578787797898
26,0.26841170292315475,-0.6295184821311306,1.0603173615227224,0.6570937656389386,-0.9173578787797898,0.35290394908482625
27,-0.6295184821311306,1.0603173615227224,0.6570937656389386,-0.9173578787797898,0.35290394908482625,-1.0551006320198564
28,1.0603173615227224,0.6570937656389386,-0.9173578787797898,0.35290394908482625,-1.0551006320198564,-0.39566750210084933
29,0.6570937656389386,-0.9173578787797898,0.35290394908482625,-1.0551006320198564,-0.39566750210084933,-1.6105076261610618
30,-0.9173578787797898,0.35290394908482625,-1.0551006320198564,-0.39566750210084933,-1.6105076261610618,-0.354559875571836
31,0.35290394908482625,-1.0551006320198564,-0.39566750210084933,-1.6105076261610618,-0.354559875571836,1.9022047229354522
32,-1.0551006320198564,-0.39566750210084933,-1.6105076261610618,-0.354559875571836,1.9022047229354522,0.555732578316781
33,-0.39566750210084933,-1.6105076261610618,-0.354559875571836,1.9022047229354522,0.555732578316781,0.5217360351281952
34,-1.6105076261610618,-0.354559875571836,1.9022047229354522,0.555732578316781,0.5217360351281952,-1.1161202135880566
35,-0.354559875571836,1.9022047229354522,0.555732578316781,0.5217360351281952,-1.1161202135880566,-0.7555261151941939
36,1.9022047229354522,0.555732578316781,0.5217360351281952,-1.1161202135880566,-0.7555261151941939,1.1929348337105017
37,0.555732578316781,0.5217360351281952,-1.1161202135880566,-0.7555261151941939,1.1929348337105017,-1.54281178173592
