L_set_count,threshold_value,B_vector,percent_positive,percent_negative
129,1.1,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",48.06,51.94
121,1.0,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",50.41,49.59
117,1.0,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.43,49.57
107,1.2,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",43.93,56.07
103,1.2,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",54.37,45.63
99,1.3,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",50.51,49.49
98,1.3,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",50.00,50.00
93,1.1,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",47.31,52.69
92,1.5,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",48.91,51.09
89,1.4,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",52.81,47.19
83,0.9,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",62.65,37.35
82,1.0,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",42.68,57.32
80,1.0,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",50.00,50.00
75,1.5,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",50.67,49.33
72,0.9,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.39,48.61
72,1.5,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",54.17,45.83
67,0.6,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",55.22,44.78
65,1.5,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",44.62,55.38
65,1.5,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",44.62,55.38
65,1.5,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",50.77,49.23
62,1.1,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",53.23,46.77
62,1.2,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",48.39,51.61
61,0.9,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.82,49.18
61,1.0,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",44.26,55.74
60,1.1,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",45.00,55.00
53,1.5,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",54.72,45.28
52,1.4,"[0.2799639306996653,0.19984799054588143,-0.19165223870268067,-1.6263330637912121,1.5791105031407633]",53.85,46.15
52,1.4,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",53.85,46.15
52,1.2,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",53.85,46.15
51,1.5,"[-1.2871566413737012,-1.628058432324711,1.0037144856080502,0.398136910551512,0.5780653984273094]",41.18,58.82
51,1.5,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",64.71,35.29
51,1.4,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",47.06,52.94
45,1.3,"[0.8428329116797473,1.5270022998715667,-1.2516958168970254,0.5282498201246568,0.15090248996602273]",55.56,44.44
44,0.9,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",54.55,45.45
44,0.8,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",54.55,45.45
